"Motor","Rpm","Kv ","Gearing","One day","three momth  ","15 day","Status","Current","make","7 day ","30 day "
"PA FAN 1A","1482","50","60","0.67","90","0.67",,"50","BHEL","4.67","20.1"
"Feb-22",,"17","60","0.67","90","10.5",,"50"," ","10.5","4.67"
"PA FAN 1B","1482","50","60","0.67","90","10.5",,"50","BHEL","4.67","20.1"
"1- Mar 25"," ","15","60","0.67","90","10.5",,"21.4"," ","4.67","20.1"
"FD FAN 1A","982","21.4","60","0.67","90","10.5",,"21.4","BHEL","4.67","20.1"
"FD FAN 1B","982","21.4","60","20.1","90","10.5",,"32","BHEL","4.67","20.1"
"Mar-25"," ","17","60","0.67","90","10.5",,"32"," ","4.67","20.1"
"MILL 1A","977","32","60","0.67","90","0.67",,"32","BHEL","4.67","20.1"
"Feb-20"," ","14","60","0.67","90","10.5",,"32"," ","4.67","20.1"
"MILL 1B","977","32","60","0.67","90","10.5",,"44","BHEL","4.67","4.67"
"MILL 1C","977","32","60","0.67","90","10.5",,"44","BHEL","4.67","20.1"
"Feb-18"," ","18","60","0.67","90","10.5",,"114"," ","4.67","20.1"
"MILL 1D","977","32","60","0.67","90","10.5",,"114","BHEL","4.67","20.1"
"ID FAN 1A","740","44","60","20.1","90","10.5",,"114","BHEL","4.67","20.1"
"ID FAN 1B","740","44","60","0.67","90","10.5",,"23","BHEL","4.67","4.67"
"BFP 1A","2982","114","60","0.67","90","10.5",,"23","BHEL","4.67","4.67"
"BFP 1B","2982","114","60","0.67","90","10.5",,"61","BHEL","4.67","20.1"
"BFP 1C","2982","114","60","0.67","90","10.5",,"61","BHEL","4.67","20.1"
"CEP 1A","1485","23","60","0.67","90","10.5",,"39.7","BHEL","4.67","20.1"
"Mar-25"," ","17","60","0.67","90","10.5",,"39.7"," ","4.67","20.1"
"CEP 1B","1485","23","60","0.67","90","10.5",,"39.7","BHEL","4.67","20.1"
"COMPRESSOR 1A","2975","61","60","0.67","90","0.67",,"71","BHEL","4.67","20.1"
"COMPRESSOR 1B","2975","61","60","0.67","90","10.5",,"71","BHEL","4.67","20.1"
"CW 1A","594","39.7","60","20.1","90","10.5",,"52","BHEL","4.67","20.1"
"05-10-2023","10","20","60","0.67","90","10.5",,"52"," ","4.67","20.1"
"CW 1B","594","39.7","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"21-10-2024"," ","10","60","0.67","90","10.5",,"37"," ","10.5","20.1"
"CW 1C","594","39.7","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"Mar-25"," ","15","60","0.67","90","10.5",,"37"," ","4.67","20.1"
"PA FAN 2A","1486","71","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"PA FAN 2B","1486","71","60","0.67","90","10.5",,"79","BHEL","4.67","20.1"
"FD FAN 2A","1485","52","60","0.67","90","10.5",,"79","BHEL","4.67","20.1"
"FD FAN 2B","1485","52","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 2A","986","37","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 2B","986","37","60","0.67","90","0.67",,"204","BHEL","4.67","4.67"
"MILL 2C","986","37","60","0.67","90","10.5",,"27.5","BHEL","4.67","20.1"
"MILL 2D","986","37","60","0.67","90","10.5",,"27.5","BHEL","4.67","20.1"
"MILL 2E","986","37","60","0.67","90","10.5",,"76","BHEL","4.67","20.1"
"ID FAN 2A","742","79","60","20.1","90","10.5",,"76","BHEL","4.67","20.1"
"ID FAN 2B","742","79","60","0.67","90","10.5",,"76","BHEL","10.5","20.1"
"BFP 2A","1487","204","60","0.67","90","10.5",,"70","BHEL","4.67","20.1"
"BFP 2B","1487","204","60","0.67","90","10.5",,"70","BHEL","4.67","20.1"
"BFP 2C","1487","204","60","0.67","90","10.5",,"70","BHEL","4.67","20.1"
"CEP 2A","1478","27.5","60","0.67","90","10.5",," ","BHEL","4.67","20.1"
"CEP 2B","1478","27.5","60","0.67","90","10.5",,"71","BHEL","4.67","20.1"
"COMPRESSOR 2A","2975","76","60","20.1","90","10.5",,"71","BHEL","4.67","20.1"
"COMPRESSOR 2B","2975","76","60","0.67","90","10.5",,"52","BHEL","4.67","20.1"
"COMPRESSOR 2C","2975","76","60","0.67","90","10.5",,"52","BHEL","4.67","20.1"
"CW 2A","495","70","60","0.67","90","10.5",,"37","BHEL","4.67","4.67"
"CW 2B","495","70","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"CW 2C","495","70","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
" "," "," ","60","20.1","90","10.5",,"37"," ","4.67","20.1"
"PA FAN 3A","1488","71","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"PA FAN 3B","1488","71","60","0.67","90","10.5",,"79","BHEL","10.5","20.1"
"FD FAN 3A","1485","52","60","0.67","90","10.5",,"79","BHEL","4.67","20.1"
"FD FAN 3B","1485","52","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 3A","986","37","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 3B","986","37","60","0.67","90","10.5",,"204","BHEL","4.67","20.1"
"MILL 3C","986","37","60","0.67","90","10.5",,"27.5","BHEL","4.67","20.1"
"MILL 3D","986","37","60","0.67","90","0.67",,"27.5","BHEL","4.67","20.1"
"MILL 3E","986","37","60","0.67","90","10.5",,"70","BHEL","4.67","4.67"
"ID FAN 3A","742","79","60","0.67","90","10.5",,"70","BHEL","4.67","20.1"
"ID FAN 3B","742","79","60","0.67","90","10.5",,"99","BHEL","4.67","20.1"
"BFP 3A","1487","204","60","0.67","90","10.5",,"99","BHEL","4.67","20.1"
"BFP 3B","1487","204","60","0.67","90","10.5",,"30","BHEL","4.67","20.1"
"BFP 3C","1487","204","60","0.67","90","10.5",,"30","KIRLOSKAR","4.67","20.1"
"CEP 3A","1478","27.5","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"CEP 3B","1478","27.5","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"CW 3A","495","70","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
"CW 3B","495","70","60","0.67","90","10.5",,"37","BHEL","4.67","20.1"
